operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,accion_tomada,fecha_accion,resultado_7d,resultado_30d,caida_real_30d,comentario_operativo
OP_C0FDDD0D09,2026-07-05,Fenix,ASESOR_7B5A7F5FB0,sin_clasificar,0.579692,P1,24,54341.07,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_1B6E4BF153,2026-07-05,Fenix,ASESOR_950BED165C,sin_clasificar,0.579213,P1,24,46047.44,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_564BEC7E7D,2026-07-05,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,0.579039,P1,24,22164.89,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_F7CFE0334C,2026-07-05,Modena,ASESOR_233077BA7F,sin_clasificar,0.57712,P1,24,55516.02,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_0CFE894900,2026-07-05,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,0.576425,P1,24,24953.72,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_92E3DE0EB6,2026-07-05,Torre Nápoles,ASESOR_7B5A7F5FB0,sin_clasificar,0.576008,P1,24,19872.29,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_CBE53D06E6,2026-07-05,Alicanto,ASESOR_E5897908D5,sin_clasificar,0.575545,P1,24,43942.87,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_7470459E1D,2026-07-05,Alicanto,ASESOR_950BED165C,sin_clasificar,0.574343,P1,24,21489.9,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_2E2096824F,2026-07-05,Torre Nápoles,ASESOR_7B5A7F5FB0,sin_clasificar,0.57403,P1,24,19669.36,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_21DB6B88EA,2026-07-05,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,0.572706,P1,24,50157.85,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_B453623583,2026-07-05,Alicanto,ASESOR_7B5A7F5FB0,sin_clasificar,0.571085,P1,24,48085.62,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_01B558E5E9,2026-07-05,Edificio Urbanzen,ASESOR_950BED165C,sin_clasificar,0.571034,P1,24,59958.58,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_B2B32E0AE3,2026-07-05,Modena,ASESOR_9FCF63DC91,sin_clasificar,0.570184,P1,24,49948.84,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_032FA878F6,2026-07-05,Alicanto,ASESOR_E5897908D5,sin_clasificar,0.564971,P1,24,44358.07,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_EF2CCA85D4,2026-07-05,Tizón y Bueno,ASESOR_E5897908D5,sin_clasificar,0.564583,P1,24,38109.33,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_FE727ACC29,2026-07-05,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,0.563962,P1,24,19119.37,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_E58CCEBB9C,2026-07-05,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,0.563334,P1,24,51401.38,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_B22BFAB2D3,2026-07-05,Capadocia,ASESOR_233077BA7F,sin_clasificar,0.561924,P1,24,52196.71,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_884FD4A870,2026-07-05,Modena,ASESOR_7B5A7F5FB0,sin_clasificar,0.561108,P1,24,45709.28,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_F1E04B5623,2026-07-05,Alicanto,ASESOR_E5897908D5,sin_clasificar,0.561072,P1,24,24406.62,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
