operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,ranking_prioridad,data_mode
OP_D98ADC9CD9,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.141011,P3,168,7611.4,Seguimiento regular.,723,real_source:ranking_operaciones_riesgo_caida.parquet
OP_B24132CD14,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.141011,P3,168,7611.4,Seguimiento regular.,724,real_source:ranking_operaciones_riesgo_caida.parquet
OP_EC98984E04,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.141011,P3,168,7280.16,Seguimiento regular.,725,real_source:ranking_operaciones_riesgo_caida.parquet
OP_F248B4CE97,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.141011,P3,168,7280.16,Seguimiento regular.,726,real_source:ranking_operaciones_riesgo_caida.parquet
OP_54951B5E50,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.141011,P3,168,7280.16,Seguimiento regular.,727,real_source:ranking_operaciones_riesgo_caida.parquet
OP_4436FCD842,2026-07-05,Edificio Cuba Connect,ASESOR_D49965A644,sin_clasificar,0.141011,P3,168,7072.16,Seguimiento regular.,731,real_source:ranking_operaciones_riesgo_caida.parquet
OP_AF823A1C79,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.120231,P3,168,8925.36,Seguimiento regular.,713,real_source:ranking_operaciones_riesgo_caida.parquet
OP_C517F296DA,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.115175,P3,168,8142.32,Seguimiento regular.,716,real_source:ranking_operaciones_riesgo_caida.parquet
OP_8020F73D5B,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.115175,P3,168,8135.41,Seguimiento regular.,717,real_source:ranking_operaciones_riesgo_caida.parquet
OP_FA05CCBDD9,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.115175,P3,168,8055.94,Seguimiento regular.,718,real_source:ranking_operaciones_riesgo_caida.parquet
OP_82ECD3416E,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.115175,P3,168,8042.12,Seguimiento regular.,719,real_source:ranking_operaciones_riesgo_caida.parquet
OP_D90E3A48EE,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.115175,P3,168,8012.06,Seguimiento regular.,720,real_source:ranking_operaciones_riesgo_caida.parquet
OP_BEBEF8F57E,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.115175,P3,168,8004.11,Seguimiento regular.,721,real_source:ranking_operaciones_riesgo_caida.parquet
OP_1123F5DDAB,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.105067,P3,168,7151.27,Seguimiento regular.,728,real_source:ranking_operaciones_riesgo_caida.parquet
OP_C879B9109F,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.105067,P3,168,7113.77,Seguimiento regular.,729,real_source:ranking_operaciones_riesgo_caida.parquet
OP_DB1BBDE9E1,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.105067,P3,168,7113.77,Seguimiento regular.,730,real_source:ranking_operaciones_riesgo_caida.parquet
OP_18DA892BF1,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.104387,P3,168,6647.14,Seguimiento regular.,737,real_source:ranking_operaciones_riesgo_caida.parquet
OP_62EBB956FD,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.104387,P3,168,6628.04,Seguimiento regular.,738,real_source:ranking_operaciones_riesgo_caida.parquet
OP_35E790CD92,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.10402,P3,168,7022.91,Seguimiento regular.,732,real_source:ranking_operaciones_riesgo_caida.parquet
OP_9A87ACA073,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.10402,P3,168,6887.79,Seguimiento regular.,733,real_source:ranking_operaciones_riesgo_caida.parquet
OP_7E130C966E,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.10402,P3,168,6855.66,Seguimiento regular.,734,real_source:ranking_operaciones_riesgo_caida.parquet
OP_70C784772E,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.10402,P3,168,6841.29,Seguimiento regular.,735,real_source:ranking_operaciones_riesgo_caida.parquet
OP_0557E1B70B,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.10402,P3,168,6781.06,Seguimiento regular.,736,real_source:ranking_operaciones_riesgo_caida.parquet
