operation_id,ranking_capacity,proyecto,asesor_id,canal,riesgo_caida,valor_esperado_en_riesgo,dias_en_tuberia,prioridad,sla_horas,accion_recomendada,data_mode
OP_2C69BC9B,512,Fenix,ASESOR_D5DBFC78,sin_clasificar,0.4685,21960.31,576,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_94F86079,513,Edificio Cuba Connect,ASESOR_26DEBB0E,sin_clasificar,0.3488,21945.29,1972,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_39700D45,514,Fenix,ASESOR_D5DBFC78,sin_clasificar,0.4858,21861.07,590,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_B027FEEB,515,Fenix,ASESOR_D5DBFC78,sin_clasificar,0.4853,21837.93,585,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_D4B9AEAD,516,Edificio Cuba Connect,ASESOR_26DEBB0E,sin_clasificar,0.3577,21789.83,2089,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_4771BEF2,517,Alicanto,ASESOR_984C1E02,sin_clasificar,0.5516,21754.1,256,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5088C1BC,518,Alicanto,ASESOR_2660085B,sin_clasificar,0.4372,21712.07,459,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_89521154,519,Modena,ASESOR_26DEBB0E,sin_clasificar,0.5341,21701.92,388,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_0CCE0BD3,520,Fenix,ASESOR_1DCEA22A,sin_clasificar,0.4459,21643.35,473,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_0B35B06A,521,Alicanto,ASESOR_B56EAA59,sin_clasificar,0.4349,21617.82,606,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_72933E3B,522,Tizón y Bueno,ASESOR_10B2BE3F,sin_clasificar,0.3106,21597.97,1000,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_A9346B00,523,Matera,ASESOR_C931A67B,sin_clasificar,0.375,21573.84,312,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_A1E8154B,524,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2452,21543.57,2413,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_388C2EAF,525,Torre Nápoles,ASESOR_1F3B24E1,sin_clasificar,0.5997,21535.32,28,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_C32FFEF1,526,Alicanto,ASESOR_B56EAA59,sin_clasificar,0.5743,21489.9,585,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_F7C25996,527,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2452,21453.01,2479,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_E1BB74A7,528,Torre Nápoles,ASESOR_59C3D8E4,sin_clasificar,0.5016,21442.27,32,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_BD3A797B,529,Alicanto,ASESOR_B56EAA59,sin_clasificar,0.4398,21417.92,401,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_8920A14A,530,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2442,21304.26,1574,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_87E29676,531,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2749,21277.77,1640,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_891D4699,532,Alicanto,ASESOR_1F3B24E1,sin_clasificar,0.5486,21272.15,357,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_68F10BF0,533,Matera,ASESOR_59C3D8E4,sin_clasificar,0.3532,21193.47,30,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_FB8A0D2D,534,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2749,21182.95,2302,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5EF6514E,535,Sialia,ASESOR_B56EAA59,sin_clasificar,0.5874,21123.38,466,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_20CA9816,536,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2442,21111.95,2637,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_D11501B0,537,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2442,21111.95,2418,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_DA6813D1,538,Torre Nápoles,ASESOR_1DCEA22A,sin_clasificar,0.5865,20785.05,231,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_8DEF3488,539,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2421,20667.51,2301,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5109A4E1,540,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.232,20656.07,1327,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_84F01DD9,541,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.232,20656.07,1134,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5DE664EF,542,Torre Nápoles,ASESOR_59C3D8E4,sin_clasificar,0.4998,20602.11,36,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_2D86377D,543,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2421,20547.69,1976,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_18BEB481,544,Tizón y Bueno,ASESOR_C931A67B,sin_clasificar,0.3991,20534.64,872,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_D359F8B5,545,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2421,20471.44,1593,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_68E476B5,546,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2421,20471.44,1496,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
