experiment_id,operation_id,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,experiment_arm,eligible,accion_tomada,resultado_7d,resultado_30d,outcome_class_7d,outcome_class_30d,is_positive_30d,is_negative_30d,is_pending_30d,treatment_contacted
riesgo_caida_action_impact_v1,OP_C05595CD26,Edificio Valdizan,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.588358,high,44126.81,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_9E2ECB1AC5,Alicanto,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.588203,high,45210.63,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_F5A9EB3521,Torre Nápoles,ASESOR_E5897908D5,sin_clasificar,P1,0.587668,high,16572.23,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_3F8D96FFBF,Sialia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.587456,high,23424.01,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_AC1930B795,Sialia,ASESOR_950BED165C,sin_clasificar,P1,0.587446,high,21123.38,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_76D2A9D606,Edificio Mariategui,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.587383,high,54363.92,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_FC8EC50993,Torre Nápoles,ASESOR_C6B4E60323,sin_clasificar,P1,0.586452,high,20785.05,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_4D054A6F1F,Tizón y Bueno,ASESOR_F59A4378D8,sin_clasificar,P1,0.584755,high,48740.99,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_B60346AD96,Fenix,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.58468,high,47905.56,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_14688E949B,Torre Nápoles,ASESOR_F59A4378D8,sin_clasificar,P1,0.584224,high,17964.87,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_C258C88379,Alicanto,ASESOR_9FCF63DC91,sin_clasificar,P1,0.583324,high,22308.68,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_A9977185F0,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,P1,0.582543,high,17781.04,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_C889EAA3D7,Edificio Valdizan,ASESOR_1265C8A465,sin_clasificar,P1,0.582534,high,50116.88,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_1EB8C654B0,Capadocia,ASESOR_C6B4E60323,sin_clasificar,P1,0.580165,high,57488.5,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_C0FDDD0D09,Fenix,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.579692,high,54341.07,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_1B6E4BF153,Fenix,ASESOR_950BED165C,sin_clasificar,P1,0.579213,high,46047.44,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_564BEC7E7D,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,P1,0.579039,high,22164.89,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_F7CFE0334C,Modena,ASESOR_233077BA7F,sin_clasificar,P1,0.57712,high,55516.02,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_0CFE894900,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,P1,0.576425,high,24953.72,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_92E3DE0EB6,Torre Nápoles,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.576008,high,19872.29,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_CBE53D06E6,Alicanto,ASESOR_E5897908D5,sin_clasificar,P1,0.575545,high,43942.87,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_7470459E1D,Alicanto,ASESOR_950BED165C,sin_clasificar,P1,0.574343,high,21489.9,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_2E2096824F,Torre Nápoles,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.57403,high,19669.36,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_21DB6B88EA,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,P1,0.572706,high,50157.85,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_B453623583,Alicanto,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.571085,high,48085.62,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_01B558E5E9,Edificio Urbanzen,ASESOR_950BED165C,sin_clasificar,P1,0.571034,high,59958.58,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_B2B32E0AE3,Modena,ASESOR_9FCF63DC91,sin_clasificar,P1,0.570184,high,49948.84,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_032FA878F6,Alicanto,ASESOR_E5897908D5,sin_clasificar,P1,0.564971,high,44358.07,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_EF2CCA85D4,Tizón y Bueno,ASESOR_E5897908D5,sin_clasificar,P1,0.564583,high,38109.33,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_FE727ACC29,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,P1,0.563962,high,19119.37,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_E58CCEBB9C,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,P1,0.563334,high,51401.38,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_B22BFAB2D3,Capadocia,ASESOR_233077BA7F,sin_clasificar,P1,0.561924,high,52196.71,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_884FD4A870,Modena,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.561108,high,45709.28,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_F1E04B5623,Alicanto,ASESOR_E5897908D5,sin_clasificar,P1,0.561072,high,24406.62,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_2584CF737D,Sialia,ASESOR_DA48A4F817,sin_clasificar,P1,0.560033,high,44482.97,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_B84F4F8F5B,Torre Nápoles,ASESOR_1265C8A465,sin_clasificar,P1,0.559626,high,53643.76,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_63739842E9,Edificio Urbanzen,ASESOR_E5897908D5,sin_clasificar,P1,0.55739,high,54562.89,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_72AA546B39,Edificio Urbanzen,ASESOR_950BED165C,sin_clasificar,P1,0.557238,high,53876.06,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_0F34610CF5,Edificio Urbanzen,ASESOR_CF9D39A66F,sin_clasificar,P1,0.55696,high,50349.91,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_C0BA29CAE8,Edificio Urbanzen,ASESOR_950BED165C,sin_clasificar,P1,0.556764,high,48909.9,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_66C78BE34A,Capadocia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.5565,high,53582.57,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_72F9F254EF,Tizón y Bueno,ASESOR_233077BA7F,sin_clasificar,P1,0.555031,high,36994.62,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_D29B8F2BB3,Modena,ASESOR_233077BA7F,sin_clasificar,P1,0.553879,high,23678.34,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_1B023CBF7E,Modena,ASESOR_E05C20E0FE,sin_clasificar,P1,0.553028,high,47283.92,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_081DD41E60,Capadocia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.552801,high,43755.93,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_DEABCEF19C,Torre Nápoles,ASESOR_F59A4378D8,sin_clasificar,P1,0.552649,high,18188.27,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_4FDC41FAFB,Edificio Urbanzen,ASESOR_C6B4E60323,sin_clasificar,P1,0.552478,high,48875.36,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
