experiment_id,operation_id,assigned_at,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,accion_recomendada,eligible,experiment_arm,assignment_score,holdout_reason,data_mode
riesgo_caida_action_impact_v1,OP_3F8D96FFBF,2026-07-05T01:23:32.267615+00:00,Sialia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.587456,high,23424.01,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.238541,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_AC1930B795,2026-07-05T01:23:32.267615+00:00,Sialia,ASESOR_950BED165C,sin_clasificar,P1,0.587446,high,21123.38,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.141593,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_76D2A9D606,2026-07-05T01:23:32.267615+00:00,Edificio Mariategui,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.587383,high,54363.92,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.531279,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_FC8EC50993,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_C6B4E60323,sin_clasificar,P1,0.586452,high,20785.05,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.34307,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_4D054A6F1F,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_F59A4378D8,sin_clasificar,P1,0.584755,high,48740.99,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.257758,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_B60346AD96,2026-07-05T01:23:32.267615+00:00,Fenix,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.58468,high,47905.56,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.363148,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_14688E949B,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_F59A4378D8,sin_clasificar,P1,0.584224,high,17964.87,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.885045,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_C258C88379,2026-07-05T01:23:32.267615+00:00,Alicanto,ASESOR_9FCF63DC91,sin_clasificar,P1,0.583324,high,22308.68,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.359764,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_A9977185F0,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,P1,0.582543,high,17781.04,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.476293,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_C889EAA3D7,2026-07-05T01:23:32.267615+00:00,Edificio Valdizan,ASESOR_1265C8A465,sin_clasificar,P1,0.582534,high,50116.88,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.13344,,real_source:ranking_operaciones_riesgo_caida.parquet
